"wordrep"	"letters"	"word_accuracy"	"iksis"	"responses"	"suppression"	"subject"
"344"	"on"	"n"	1	208	"n"	"Normal"	"p10crandom.txt"
"345"	"a"	"a"	1	760	"a"	"Normal"	"p10crandom.txt"
"346"	"dog"	"d"	1	920	"d"	"Normal"	"p10crandom.txt"
"347"	"dog"	"o"	1	128	"o"	"Normal"	"p10crandom.txt"
"348"	"dog"	"g"	1	88	"g"	"Normal"	"p10crandom.txt"
"349"	"that"	"t"	1	128	"t"	"Normal"	"p10crandom.txt"
"350"	"that"	"h"	1	72	"h"	"Normal"	"p10crandom.txt"
"351"	"that"	"a"	1	224	"a"	"Normal"	"p10crandom.txt"
"352"	"that"	"t"	1	136	"t"	"Normal"	"p10crandom.txt"
"353"	"may"	"m"	1	304	"m"	"Normal"	"p10crandom.txt"
"354"	"may"	"a"	1	392	"a"	"Normal"	"p10crandom.txt"
"355"	"may"	"y"	1	144	"y"	"Normal"	"p10crandom.txt"
"356"	"not"	"n"	1	232	"n"	"Normal"	"p10crandom.txt"
"357"	"not"	"o"	1	153	"o"	"Normal"	"p10crandom.txt"
"358"	"not"	"t"	1	751	"t"	"Normal"	"p10crandom.txt"
"359"	"turnm"	"t"	0	272	"t"	"Normal"	"p10crandom.txt"
"360"	"turnm"	"u"	0	80	"u"	"Normal"	"p10crandom.txt"
"361"	"turnm"	"r"	0	119	"r"	"Normal"	"p10crandom.txt"
"362"	"turnm"	"n"	0	169	"n"	"Normal"	"p10crandom.txt"
