"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"242"	"some"	"e"	1	"some"	0	4	1	88	"e"	"Normal"	"p10crandom.txt"
"243"	"gave"	"g"	0	"have"	1	4	0.75	152	"g"	"Normal"	"p10crandom.txt"
"244"	"gave"	"a"	0	"have"	1	4	0.75	104	"a"	"Normal"	"p10crandom.txt"
"245"	"gave"	"v"	0	"have"	1	4	0.75	112	"v"	"Normal"	"p10crandom.txt"
"246"	"gave"	"e"	0	"have"	1	4	0.75	72	"e"	"Normal"	"p10crandom.txt"
"247"	"neither"	"n"	1	"neither"	0	7	1	192	"n"	"Normal"	"p10crandom.txt"
"248"	"neither"	"e"	1	"neither"	0	7	1	80	"e"	"Normal"	"p10crandom.txt"
"249"	"neither"	"i"	1	"neither"	0	7	1	336	"i"	"Normal"	"p10crandom.txt"
"250"	"neither"	"t"	1	"neither"	0	7	1	96	"t"	"Normal"	"p10crandom.txt"
"251"	"neither"	"h"	1	"neither"	0	7	1	112	"h"	"Normal"	"p10crandom.txt"
"252"	"neither"	"e"	1	"neither"	0	7	1	80	"e"	"Normal"	"p10crandom.txt"
"253"	"neither"	"r"	1	"neither"	0	7	1	113	"r"	"Normal"	"p10crandom.txt"
"254"	"the"	"t"	1	"the"	0	3	1	72	"t"	"Normal"	"p10crandom.txt"
"255"	"the"	"h"	1	"the"	0	3	1	72	"h"	"Normal"	"p10crandom.txt"
"256"	"the"	"e"	1	"the"	0	3	1	96	"e"	"Normal"	"p10crandom.txt"
"257"	"time"	"t"	1	"time"	0	4	1	216	"t"	"Normal"	"p10crandom.txt"
"258"	"time"	"i"	1	"time"	0	4	1	160	"i"	"Normal"	"p10crandom.txt"
"259"	"time"	"m"	1	"time"	0	4	1	193	"m"	"Normal"	"p10crandom.txt"
"260"	"time"	"e"	1	"time"	0	4	1	95	"e"	"Normal"	"p10crandom.txt"
"261"	"nor"	"n"	1	"nor"	0	3	1	152	"n"	"Normal"	"p10crandom.txt"
"262"	"nor"	"o"	1	"nor"	0	3	1	152	"o"	"Normal"	"p10crandom.txt"
"263"	"nor"	"r"	1	"nor"	0	3	1	160	"r"	"Normal"	"p10crandom.txt"
"264"	"the"	"t"	1	"the"	0	3	1	88	"t"	"Normal"	"p10crandom.txt"
"265"	"the"	"h"	1	"the"	0	3	1	89	"h"	"Normal"	"p10crandom.txt"
"266"	"the"	"e"	1	"the"	0	3	1	87	"e"	"Normal"	"p10crandom.txt"
"267"	"ability"	"a"	1	"ability"	0	7	1	176	"a"	"Normal"	"p10crandom.txt"
"268"	"ability"	"b"	1	"ability"	0	7	1	104	"b"	"Normal"	"p10crandom.txt"
"269"	"ability"	"i"	1	"ability"	0	7	1	176	"i"	"Normal"	"p10crandom.txt"
"270"	"ability"	"l"	1	"ability"	0	7	1	208	"l"	"Normal"	"p10crandom.txt"
"271"	"ability"	"i"	1	"ability"	0	7	1	153	"i"	"Normal"	"p10crandom.txt"
"272"	"ability"	"t"	1	"ability"	0	7	1	111	"t"	"Normal"	"p10crandom.txt"
"273"	"ability"	"y"	1	"ability"	0	7	1	216	"y"	"Normal"	"p10crandom.txt"
