"iksis"	"letters"	"words"	"closest"	"accuracy"	"distance"	"propCorrect"	"suppression"	"subject"	"VoiceCondition"	"ChunkCondition"	"LetterPosition"	"LetterType"
"189"	152	"a"	"main"	"main"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"190"	1232	"i"	"main"	"main"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"191"	320	"n"	"main"	"main"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"192"	744	" "	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"193"	664	"r"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"194"	184	"e"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"195"	248	"q"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"196"	224	"u"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"197"	768	"i"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"198"	456	"r"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"199"	280	"e"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"200"	576	"m"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	8	"Middle"
"201"	232	"e"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	9	"Middle"
"202"	184	"n"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	10	"Middle"
"203"	200	"t"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	11	"Middle"
"204"	384	"s"	"requirements"	"requirements"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	12	"Middle"
"205"	496	" "	"are"	"are"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"206"	216	"a"	"are"	"are"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"207"	600	"r"	"are"	"are"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"208"	216	"e"	"are"	"are"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"209"	616	" "	"speed"	"speed"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
